Variable,Level,ReferenceLevel,IsReference,FrequencyRelativity,SeverityRelativity,GLMTwoPartRelativity,TweedieRelativity,BoostedRelativity,SelectedModelRelativity
Driver age,21,44,False,0.7091675841789398,1.0367937238696672,0.7352605004485385,0.7802575977131311,1.3948891970650252,1.3948891970650252
Driver age,27,44,False,0.7091675841789398,1.0367937238696672,0.7352605004485385,0.7802575977131311,0.5031665945639878,0.5031665945639878
Driver age,35,44,False,0.7535352546805332,1.0127770852275413,0.7631632388515432,0.7741435127108323,0.5506241960757031,0.5506241960757031
Driver age,44,44,True,1.0,1.0,1.0,1.0,1.0,1.0
Driver age,55,44,False,0.8560308143387051,1.0119432847424434,0.8662546341026578,0.9177604661641703,0.9029417245626767,0.9029417245626767
Driver age,65,44,False,0.8590774327409589,1.0285199469956199,0.8835782755878643,1.03476570215125,0.8118937595969002,0.8118937595969002
Driver age,75,44,False,0.8590774327409589,1.0285199469956199,0.8835782755878643,1.03476570215125,0.8178003773334689,0.8178003773334689
Vehicle age,0,6,False,0.9272369267663917,1.0076026209619533,0.934286357662523,1.0019761371255942,1.0111441409710271,1.0111441409710271
Vehicle age,2,6,False,0.9785954952783368,1.0163224887903444,0.9945686092802988,1.0882374861598472,1.0111441409710271,1.0111441409710271
Vehicle age,4,6,False,0.9616900400282061,1.0087848397065862,0.9701383328772744,1.043790147478655,1.0,1.0
Vehicle age,6,6,True,1.0,1.0,1.0,1.0,1.0,1.0
Vehicle age,12,6,False,0.9051253396408522,1.0094367192622877,0.9136667533682258,0.9297593007298116,0.9576966281831585,0.9576966281831585
Vehicle age,20,6,False,0.7533170639512546,1.0065285577853693,0.7582351379339651,0.7364611668497092,0.4628902905456847,0.4628902905456847
Bonus-malus,50,50,True,1.0,1.0,1.0,1.0,1.0,1.0
Bonus-malus,60,50,False,1.3073500749924847,1.0239575463141835,1.3386709749629684,1.3908546027850497,1.937683906308218,1.937683906308218
Bonus-malus,75,50,False,1.9542482887486594,1.0609743326716485,2.0734072740298197,2.281415197139014,2.735397908643599,2.735397908643599
Bonus-malus,90,50,False,2.9212423260839433,1.0993293019226982,3.2114072870809,3.742199429986886,2.434413910792384,2.434413910792384
Bonus-malus,110,50,False,4.992882857552425,1.1526347427247687,5.754970247969848,7.239196953250866,4.504545516629962,4.504545516629962
Bonus-malus,150,50,False,14.585420732661088,1.2671251470914686,18.48155339126414,27.0905187120182,6.44910255081383,6.44910255081383
Bonus-malus,200,50,False,55.70298158028704,1.4263603732158252,79.45252559609246,141.0022299450494,6.44910255081383,6.44910255081383
Density,100,393,False,0.921905353366345,1.014164238872923,0.9349634410096526,0.907500872154788,0.9794533654280283,0.9794533654280283
Density,393,393,True,1.0,1.0,1.0,1.0,1.0,1.0
Density,500,393,False,1.0144089857714365,0.9975284864993265,1.0119018602678977,1.017223516697232,1.0304604079557693,1.0304604079557693
Density,2000,393,False,1.1014943751390118,0.9834181502727941,1.083229560935094,1.122310685908804,1.1074211376735843,1.1074211376735843
Density,5000,393,False,1.1631197665989665,0.9742014626875134,1.1331129779014724,1.1976614910408256,1.117475074368685,1.117475074368685
Density,10000,393,False,1.2120179016616366,0.9672867386132585,1.1723688432391695,1.258005207241621,1.117475074368685,1.117475074368685
Vehicle power,4,6,False,0.9337938828871409,0.9966053189389327,0.9306239504779635,0.8848415807750308,0.9507117349307498,0.9507117349307498
Vehicle power,5,6,False,0.9573279311765881,0.9712870261522473,0.9298401993249915,0.8054706763323379,0.8297329517979088,0.8297329517979088
Vehicle power,6,6,True,1.0,1.0,1.0,1.0,1.0,1.0
Vehicle power,7,6,False,0.9944692760740553,0.9841694296885727,0.9787262602766107,0.912606350143083,0.9553764066923165,0.9553764066923165
Vehicle power,8,6,False,1.0321323233570097,0.9803559083728188,1.0118570214256093,0.8410546833205659,0.8882563799711588,0.8882563799711588
Vehicle power,9,6,False,1.086458134756554,0.991326798522156,1.0770350644565678,1.0459916695204385,0.9420286329363237,0.9420286329363237
Vehicle power,10,6,False,1.1319756307254245,0.9982829430862383,1.1300319641424776,1.2228726408774933,1.2206896942124368,1.2206896942124368
Vehicle power,11,6,False,1.1829129132838456,0.9892918002391579,1.1702460455087225,1.1656368213164492,1.064584502047075,1.064584502047075
Vehicle power,12,6,False,1.1184538237540247,0.9937148858937854,1.1114242138491985,1.2630576542642977,1.013121781707283,1.013121781707283
Vehicle power,13,6,False,1.0769888302382358,0.9900158640154261,1.06623602730327,1.0592115194690708,1.114137124447917,1.114137124447917
Vehicle power,14,6,False,1.0606593606785661,0.9922656594602921,1.0524558599864493,1.1846544472319351,1.0842453607525895,1.0842453607525895
Vehicle power,15,6,False,1.053340180044687,0.9885783759492682,1.0413093245106866,0.9429462740941206,0.9403423055036415,0.9403423055036415
Vehicle brand,B1,B12,False,1.262517138744827,0.984787238528285,1.24331076665915,1.1176193513857051,0.9566661322684261,0.9566661322684261
Vehicle brand,B10,B12,False,1.2493145630521536,0.9918420834537062,1.2391227591067044,1.0989895414443045,0.8971107802704835,0.8971107802704835
Vehicle brand,B11,B12,False,1.3904870170670593,0.9962572944628666,1.3852828336089706,1.3989421295679159,1.207878163909585,1.207878163909585
Vehicle brand,B12,B12,True,1.0,1.0,1.0,1.0,1.0,1.0
Vehicle brand,B13,B12,False,1.272332229885091,0.9958034149093666,1.266992779418823,1.2861232966714382,1.1220924987303675,1.1220924987303675
Vehicle brand,B14,B12,False,1.1727733704070313,0.993062264870119,1.1646369793957694,1.025295450592165,0.8500397104892001,0.8500397104892001
Vehicle brand,B2,B12,False,1.256196734386541,0.9963155313469747,1.2515683168966611,1.1742046726573248,0.9563272418726806,0.9563272418726806
Vehicle brand,B3,B12,False,1.299529506600862,0.9989437357103328,1.2981568599896707,1.2443131218287606,1.07191318090358,1.07191318090358
Vehicle brand,B4,B12,False,1.2700656176857164,0.9976610665074915,1.2670950186748278,1.3030581360354203,1.0266818281819154,1.0266818281819154
Vehicle brand,B5,B12,False,1.3464379927037708,0.9890448883952192,1.331687614224784,1.2052347002112433,1.058861196053167,1.058861196053167
Vehicle brand,B6,B12,False,1.2809664459330048,0.9825140256733366,1.2585674995461031,0.9691211370042805,0.921629608897412,0.921629608897412
Fuel,Diesel,Regular,False,1.1733544988072653,0.9898364227239543,1.1614290196864416,1.1700544373267079,1.1297706821263387,1.1297706821263387
Fuel,Regular,Regular,True,1.0,1.0,1.0,1.0,1.0,1.0
Area,A,C,False,0.963946666629376,1.0273287874728798,0.9902901602168812,1.2143488066978976,1.4679348990247303,1.4679348990247303
Area,B,C,False,0.9969343392962101,1.0122277689447097,1.0091246220501708,1.0768279483347991,1.0885066533569026,1.0885066533569026
Area,C,C,True,1.0,1.0,1.0,1.0,1.0,1.0
Area,D,C,False,1.0422157172639617,1.0303944817961426,1.0738933239099948,1.1919577843872902,1.3703480920349742,1.3703480920349742
Area,E,C,False,1.0581129500578876,1.0119787762804007,1.0707878483660258,1.0954970585522383,1.2431989524542044,1.2431989524542044
Area,F,C,False,1.019585749448128,1.0059344262778027,1.025636405912126,0.8474526082987632,1.081779552655839,1.081779552655839
Region,Alsace,Centre,False,1.0140597224723262,0.9829612627935291,0.9967814253494534,0.8478109188262546,0.979901031782918,0.979901031782918
Region,Aquitaine,Centre,False,1.0344092632958264,0.9798212916075403,1.013536220413321,0.9006488792896479,0.9581688327114002,0.9581688327114002
Region,Auvergne,Centre,False,1.0296489913576985,0.9821042790320845,1.0112226803134654,0.816848842679068,0.988221263307031,0.988221263307031
Region,Basse-Normandie,Centre,False,0.9953315362075978,0.9851264903451707,0.9805274629940582,0.9939513548507758,1.3238428144420067,1.3238428144420067
Region,Bourgogne,Centre,False,1.0410329459497347,0.9828173342658619,1.0231452248212551,0.9309311695050673,1.1576970121542693,1.1576970121542693
Region,Bretagne,Centre,False,1.0101179208859763,0.9899258748514175,0.999941866536145,1.065433291089952,0.9690409021946327,0.9690409021946327
Region,Centre,Centre,True,1.0,1.0,1.0,1.0,1.0,1.0
Region,Champagne-Ardenne,Centre,False,1.0188779176211318,0.9830861730043852,1.0016447927928356,0.8500999486384736,0.9229090769310707,0.9229090769310707
Region,Corse,Centre,False,1.0715371515745107,0.9884302724732136,1.0591397586959648,1.239085884676626,1.1348208856858581,1.1348208856858581
Region,Franche-Comte,Centre,False,1.0310058978937064,0.9840613030711168,1.0145730073552877,0.9628733295676274,1.0739837555666218,1.0739837555666218
Region,Haute-Normandie,Centre,False,1.0272746710804102,0.9818408776499237,1.0086202646411266,0.848908514648058,0.9688941905159096,0.9688941905159096
Region,Ile-de-France,Centre,False,1.006238113587024,0.9735917882991744,0.9796651644619784,0.8777800467474122,1.0008005041327355,1.0008005041327355
Region,Languedoc-Roussillon,Centre,False,1.0223622816462266,0.9862482427029395,1.0083030036793588,1.041186446586561,1.2472335765293288,1.2472335765293288
Region,Limousin,Centre,False,1.118655881826831,0.9818300431281369,1.0983299526995818,0.9301645668571329,0.997415606625525,0.997415606625525
Region,Midi-Pyrenees,Centre,False,0.9167357080564421,0.9805175338976867,0.8988754356994523,0.710432303082284,0.9269760972599984,0.9269760972599984
Region,Nord-Pas-de-Calais,Centre,False,0.9962152963076806,0.9819598004393395,0.9782433735569075,0.9303904964657959,0.9303747546104907,0.9303747546104907
Region,Pays-de-la-Loire,Centre,False,1.039193629302841,0.9754388801841173,1.0136698700616318,0.8716054419262239,1.0651283073066247,1.0651283073066247
Region,Picardie,Centre,False,1.0911476533712579,0.9817587038139305,1.0712437058433781,0.915693072302101,1.0883767275416953,1.0883767275416953
Region,Poitou-Charentes,Centre,False,1.0568707578065686,0.9792277974630742,1.0349172243700562,0.8918252457816596,0.9756839751585265,0.9756839751585265
Region,Provence-Alpes-Cotes-D'Azur,Centre,False,1.1244652416443797,0.996855713793827,1.1209296010957561,1.2259827198482909,1.4146583776544737,1.4146583776544737
Region,Rhone-Alpes,Centre,False,1.2166338149779121,0.9836856045955293,1.1967851698579128,1.1263173815236907,1.1250974836056205,1.1250974836056205
