RiskDecile,Policies,Exposure,ActualClaims,ActualClaimAmount,PredictedClaims,PredictedClaimAmount,ObservedFrequency,PredictedFrequency,ObservedPurePremium,PredictedPurePremium,ActualToPredicted,ObservedLift,PredictedLift
1,10440,7159.59402649,210,304506.71,296.2578473123789,410738.1515904684,0.02933127202785725,0.04137914052336563,42.531281644370665,57.368916459615704,0.7413645623638396,0.27645555917521203,0.3729009629132178
2,11146,7159.663493514,324,943872.11,341.3890902689061,530672.235842227,0.0452535234782353,0.047682281517584364,131.8319095380756,74.11971754300569,1.7786348074192835,0.8569143195173032,0.48178204763722476
3,11857,7159.833745027,318,607738.85,371.55554324642986,608521.5025998206,0.04441443912309738,0.05189443728417589,84.88169860398179,84.99101016451407,0.9987138456135455,0.5517354884228255,0.5524460192938194
4,12414,7159.591097372,365,782142.11,401.3295157786131,677986.0846365415,0.05098056509595596,0.056054809600219364,109.24396370724205,94.6962019779877,1.1536256093210158,0.7100914880894381,0.6155302745986831
5,13317,7158.982979996,382,859790.29,427.0259578674763,752273.6743500406,0.05335953459693984,0.05964896956183501,120.09950189886895,105.08108155195823,1.1429222094510392,0.7806530551263275,0.6830325359599807
6,14016,7160.27612095,434,657111.08,457.985747165299,840614.1097073951,0.06061218766831836,0.06396202317188504,91.77175138223814,117.39967782078568,0.7817036050331468,0.5965211924955758,0.7631040571576759
7,14866,7159.332910379,492,722265.5,504.12876068066146,955518.9531200281,0.06872148650703751,0.07041560533521467,100.88446913160304,133.46480252857035,0.755888198388538,0.6557543353402142,0.8675282095132625
8,15383,7159.528305246,592,1129052.34,587.0869467438947,1139000.0973335993,0.082687011596312,0.08200078576597268,157.69926339598516,159.08870651422944,0.9912662366255394,1.0250534749503957,1.0340849280208255
9,15938,7159.733273426,752,1697379.8699999999,727.714419870805,1463523.5612287072,0.10503184564027214,0.10163987848147685,237.07305917386327,204.41034677376987,1.1597899172699055,1.5409873064091695,1.3286779643994369
10,16226,7159.657153955,1530,3310851.29,1130.0917370952582,2893077.781380996,0.21369738342216946,0.15784159950605942,462.4315408973296,404.0804914496301,1.1444045200954058,3.0058292455888647,2.626544366792851
